global_step,parameters/mlp_extractor.policy_net.2.bias,gradients/mlp_extractor.value_net.2.weight,time/fps,train/explained_variance,_runtime,robot/height,curriculum/current_phase,parameters/value_net.weight,train/entropy_loss,train/clip_fraction,rollout/ep_len_mean,parameters/mlp_extractor.value_net.2.bias,train/clip_range,robot/velocity_ms,rollout/ep_rew_mean,gradients/action_net.weight,gradients/mlp_extractor.policy_net.2.weight,gradients/action_net.bias,gradients/mlp_extractor.value_net.0.bias,train/value_loss,parameters/action_net.bias,parameters/mlp_extractor.value_net.0.bias,train/approx_kl,train/loss,gradients/mlp_extractor.policy_net.0.weight,train/std,parameters/mlp_extractor.value_net.0.weight,gradients/mlp_extractor.policy_net.2.bias,robot/total_distance,_step,gradients/log_std,parameters/mlp_extractor.policy_net.2.weight,train/policy_gradient_loss,parameters/mlp_extractor.value_net.2.weight,_timestamp,gradients/value_net.bias,gradients/value_net.weight,gradients/mlp_extractor.value_net.2.bias,robot/x_position,parameters/log_std,train/learning_rate,parameters/mlp_extractor.policy_net.0.bias,gradients/mlp_extractor.value_net.0.weight,parameters/action_net.weight,parameters/mlp_extractor.policy_net.0.weight,gradients/mlp_extractor.policy_net.0.bias,parameters/value_net.bias
59392.0,,,,,111.265564751,,,,,,,,0.2,,,,,,,,,,,,,,,,,504,,,,,1761508235.7068315,,,,,,,,,,,,
79872.0,,,,,136.285705211,,,,,,,,,,,,,,,,,,,,,,,,,689,,,-0.01070167,,1761508263.930044,,,,,,,,,,,,
92160.0,,,,,156.29852774,,,,,,,,,,27339.045,,,,,,,,,,,,,,,788,,,,,1761508280.8630126,,,,,,,,,,,,
114688.0,,,,,186.319151492,,0.0,,,,,,,,,,,,,,,,,,,,,,,980,,,,,1761508312.0880044,,,,,,,,,,,,
256000.0,,,,,381.462748784,,,,,,,,,-12.292308,,,,,,,,,,,,,,,,2225,,,,,1761508507.1830604,,,,,,,,,,,,
299008.0,,,,,441.50885668,,,,,,,,0.2,,,,,,,,,,,,,,,,,2610,,,,,1761508566.6013086,,,,,,,,,,,,
303104.0,,,,0.95893234,446.512642349,,,,,,,,,,,,,,,,,,,,,,,,,2648,,,,,1761508572.2674692,,,,,,,,,,,,
630784.0,,,,,896.84351304,,,,,,,,,,,,,,,,,,,,,,,,2.7709568,5518,,,,,1761509024.3102608,,,,,,,,,,,,
669696.0,,,,,951.884989447,,,,,,,,,,113726.836,,,,,,,,,,,,,,,5864,,,,,1761509077.584173,,,,,,,,,,,,
808960.0,,,,,1142.035101518,,,,-10.01247,,,,,,,,,,,,,,,,,,,,,7093,,,,,1761509269.7157624,,,,,,,,,,,,
835584.0,,,,0.98988354,1182.065339453,,,,,,,,,,,,,,,,,,,,,,,,,7328,,,,,1761509306.3705995,,,,,,,,,,,,
933888.0,,,,,1317.167220122,,,,,,,,,,,,,,,,,,,,,,,,0.79631674,8182,,,,,1761509441.9894874,,,,,,,,,,,,
968704.0,,,,,1362.201418531,,,,,,,,,,,,,,,,,,,,,,,,,8501,,,-0.011466186,,1761509490.0514252,,,,,,,,,,,,
1099776.0,,,,,1542.339879924,,,,,,,,,,,,,,,,,,,,,,,,,9653,,,-0.009498664,,1761509670.612167,,,,,,,,,,,,
1169408.0,,,,,1642.418892057,,,,,,,,,,,,,,,,,,,,,0.7689202,,,,10266,,,,,1761509767.033813,,,,,,,,,,,,
1210368.0,,,,,1697.464491573,,,,,,,,,,,,,,,0.041247237,,,,,,,,,,10627,,,,,1761509823.8013332,,,,,,,,,,,,
1277952.0,,,,0.9791301,1792.538389751,,,,,,,,,,,,,,,,,,,,,,,,,11216,,,,,1761509917.275406,,,,,,,,,,,,
1282048.0,,,,,1797.54072587,,,,-9.00989,,,,,,,,,,,,,,,,,,,,,11251,,,,,1761509922.981339,,,,,,,,,,,,
1435648.0,,,,,2007.696303819,,,,,,,,,,,,,,,0.008443348,,,,,,,,,,12607,,,,,1761510134.484985,,,,,,,,,,,,
1513472.0,,,,,2117.781811703,,,,,,,,0.2,,,,,,,,,,,,,,,,,13284,,,,,1761510241.9477608,,,,,,,,,,,,
1548288.0,,,,,2162.816940395,,,,-8.557846,,,,,,,,,,,,,,,,,,,,,13591,,,,,1761510289.9854603,,,,,,,,,,,,
1783808.0,,,723.0,,2488.069285167,,,,,,,,,,,,,,,,,,,,,,,,,15657,,,,,1761510615.4340208,,,,,,,,,,,,
1792000.0,,,,,2503.07934176,,,,,,,,,,,,,,,,,,,,,,,,0.0,15724,,,,,1761510626.636573,,,,,,,,,,,,
1855488.0,,,,,2588.145912966,,,,,,,,,,,,,,,,,,,,,,,,1.5189595,16282,,,,,1761510714.5253036,,,,,,,,,,,,
2099200.0,,,,,2923.404597552,,,,-7.837966,,,,,,,,,,,,,,,,,,,,,18433,,,,,1761511051.6805012,,,,,,,,,,,,
2136064.0,,,,0.8117969,2978.44657725,,,,,,,,,,,,,,,,,,,,,,,,,18758,,,,,1761511102.3897703,,,,,,,,,,,,
2236416.0,,,723.0,,3113.551029172,,,,,,,,,,,,,,,,,,,,,,,,,19635,,,,,1761511240.6952891,,,,,,,,,,,,
2381824.0,,,,,3313.707320448,,,,,,,,,,,,,,,,,,,-0.023507915,,,,,,20920,,,,,1761511441.0023687,,,,,,,,,,,,
2406400.0,,,,,3348.733087705,,,,,,,,,,,,,,,,,,,,,,,,,21137,,,-0.012027523,,1761511474.9967566,,,,,,,,,,,,
