train/explained_variance,parameters/mlp_extractor.policy_net.2.bias,_runtime,time/fps,gradients/action_net.bias,train/policy_gradient_loss,sr2l/update_counter,parameters/mlp_extractor.policy_net.2.weight,parameters/action_net.bias,train/clip_range,gradients/mlp_extractor.value_net.2.bias,train/clip_fraction,global_step,robot/x_position,gradients/log_std,gradients/value_net.weight,parameters/action_net.weight,_timestamp,gradients/mlp_extractor.value_net.0.weight,sr2l/current_lambda,gradients/mlp_extractor.policy_net.0.weight,parameters/mlp_extractor.value_net.2.weight,parameters/mlp_extractor.value_net.0.weight,parameters/log_std,gradients/mlp_extractor.value_net.0.bias,rollout/ep_rew_mean,gradients/mlp_extractor.policy_net.2.bias,train/std,train/value_loss,curriculum/current_phase,robot/velocity_ms,sr2l/loss,gradients/action_net.weight,parameters/mlp_extractor.value_net.2.bias,gradients/mlp_extractor.value_net.2.weight,parameters/value_net.weight,gradients/mlp_extractor.policy_net.2.weight,train/entropy_loss,rollout/ep_len_mean,gradients/value_net.bias,sr2l/smoothness_score,parameters/value_net.bias,_step,train/approx_kl,sr2l/perturbation_std,gradients/mlp_extractor.policy_net.0.bias,parameters/mlp_extractor.value_net.0.bias,parameters/mlp_extractor.policy_net.0.bias,train/learning_rate,parameters/mlp_extractor.policy_net.0.weight,sr2l/curriculum_progress,robot/height,robot/total_distance
,,131.384758368,,,,,,,,,,71680.0,,,,,1761508258.5773351,,,,,,,,,,0.998104,,,,,,,,,,,,,,,788,,,,,,,,,,
,,161.40686558,,,,,,,,,,90112.0,,,,,1761508285.4964004,,,,,,,,28250.25,,,,,,,,,,,,,,,,,980,,,,,,,,,,
,,321.534486618,,,,,,,,,,200704.0,,,,,1761508448.8581078,,,,,,,,,,,,,,15.145165,,,,,,,,,,,2225,,,,,,,,,,
0.7429379,,376.578639724,,,,,,,,,,237568.0,,,,,1761508503.3334198,,,,,,,,,,,,,,,,,,,,,,,,,2648,,,,,,,,,,
,,756.877627666,674.0,,,,,,,,,493568.0,,,,,1761508881.617848,,,,,,,,,,,,,,,,,,,,,,,,,5518,,,,,,,,,,
,,801.91319722,,,,,,,,,,524288.0,,,,,1761508926.9241724,,,,,,,,,,,,,,,,,,,,,,,,,5864,0.008862368,,,,,,,,,
,,997.07329299,,,,,,,,,,655360.0,,,,,1761509120.6261787,,,,,,,,193907.69,,,,,,,,,,,,,,,,,7328,,,,,,,,,,
,,1147.200495337,,,,,,,,,,759808.0,,,,,1761509274.9311018,,,,,,,,207630.56,,,,,,,,,,,,,,,,,8501,,,,,,,,,,
,,1302.327214439,,,,,,,,,,862208.0,,,,,1761509426.192353,,,,,,,,,,,,,,,,,,,,,,,,,9653,,,,,,,,0.001344,,
,,1382.393935779,,,,,,,,,,917504.0,,,,,1761509507.9025846,,,,,,,,,,,,0.0,,,,,,,,,,,,,10266,,,,,,,,,,
