parameters/log_std,parameters/mlp_extractor.value_net.2.bias,robot/x_position,gradients/mlp_extractor.policy_net.0.weight,gradients/value_net.weight,gradients/mlp_extractor.policy_net.2.weight,parameters/mlp_extractor.value_net.0.weight,train/std,gradients/action_net.weight,_step,global_step,train/entropy_loss,parameters/mlp_extractor.policy_net.2.bias,parameters/value_net.bias,curriculum/current_phase,gradients/action_net.bias,train/clip_range,train/learning_rate,train/value_loss,parameters/value_net.weight,gradients/mlp_extractor.value_net.2.bias,parameters/mlp_extractor.policy_net.2.weight,gradients/mlp_extractor.value_net.2.weight,gradients/mlp_extractor.value_net.0.weight,gradients/mlp_extractor.policy_net.0.bias,_runtime,robot/height,train/clip_fraction,parameters/mlp_extractor.value_net.0.bias,parameters/mlp_extractor.policy_net.0.bias,rollout/ep_rew_mean,robot/total_distance,parameters/mlp_extractor.value_net.2.weight,parameters/action_net.bias,parameters/mlp_extractor.policy_net.0.weight,gradients/mlp_extractor.policy_net.2.bias,time/fps,robot/velocity_ms,train/explained_variance,gradients/mlp_extractor.value_net.0.bias,train/approx_kl,rollout/ep_len_mean,_timestamp,gradients/value_net.bias,train/loss,gradients/log_std,parameters/action_net.weight,train/policy_gradient_loss
,,,,,,,,,504,59392.0,,,,,,0.15,,,,,,,,,94.408834826,,,,,,,,,,,,,,,,,1758557266.507874,,,,,
,,,,,,,,,689,79872.0,,,,,,,,,,,,,,,119.428022396,,,,,,,,,,,,,,,,,1758557295.67465,,,,,-0.0031006457
,,,,,,,,,788,92160.0,,,,,,,,,,,,,,,139.444033275,,,,,-24429.953,,,,,,,,,,,,1758557313.0805848,,,,,
,,,,,,,,,980,114688.0,,,,0.0,,,,,,,,,,,169.46798837,,,,,,,,,,,,,,,,,1758557344.8732498,,,,,
,,,,,,,,,2225,256000.0,,,,,,,,,,,,,,,369.61558536,,,,,,,,,,,,-38.269756,,,,,1758557544.8574948,,,,,
,,,,,,,,,2610,299008.0,,,,,,0.15,,,,,,,,,429.66388916,,,,,,,,,,,,,,,,,1758557605.580273,,,,,
,,,,,,,,,2648,303104.0,,,,,,,,,,,,,,,434.668808394,,,,,,,,,,,,,0.6745542,,,,1758557611.3395898,,,,,
,,,,,,,,,5518,630784.0,,,,,,,,,,,,,,,900.021366531,,,,,,4.2596865,,,,,,,,,,,1758558075.1948967,,,,,
,,,,,,,,,5864,669696.0,,,,,,,,,,,,,,,955.059181353,,,,,84204.11,,,,,,,,,,,,1758558130.2964594,,,,,
,,,,,,,,,7093,808960.0,-11.3984375,,,,,,,,,,,,,,1155.208263615,,,,,,,,,,,,,,,,,1758558328.0011194,,,,,
,,,,,,,,,7328,835584.0,,,,,,,,,,,,,,,1190.234023451,,,,,,,,,,,,,0.6936278,,,,1758558365.9290628,,,,,
