parameters/mlp_extractor.policy_net.2.bias,rollout/ep_rew_mean,gradients/mlp_extractor.value_net.0.bias,curriculum/current_phase,gradients/mlp_extractor.value_net.0.weight,train/value_loss,gradients/value_net.weight,_step,gradients/mlp_extractor.policy_net.0.bias,rollout/ep_len_mean,train/explained_variance,robot/velocity_ms,parameters/mlp_extractor.policy_net.0.bias,parameters/action_net.weight,gradients/mlp_extractor.policy_net.0.weight,train/entropy_loss,parameters/action_net.bias,parameters/value_net.weight,gradients/log_std,parameters/mlp_extractor.value_net.2.weight,train/clip_fraction,parameters/mlp_extractor.policy_net.0.weight,parameters/value_net.bias,parameters/mlp_extractor.policy_net.2.weight,train/std,gradients/mlp_extractor.policy_net.2.bias,gradients/mlp_extractor.value_net.2.weight,gradients/mlp_extractor.value_net.2.bias,train/clip_range,gradients/action_net.weight,time/fps,_runtime,_timestamp,robot/total_distance,train/policy_gradient_loss,gradients/mlp_extractor.policy_net.2.weight,parameters/mlp_extractor.value_net.0.weight,train/learning_rate,gradients/value_net.bias,global_step,parameters/mlp_extractor.value_net.0.bias,robot/x_position,train/approx_kl,parameters/mlp_extractor.value_net.2.bias,robot/height,parameters/log_std,gradients/action_net.bias
,,,,,,,504,,,,0.009359294,,,,,,,,,,,,,,,,,,,,114.780196538,1759261500.2783585,,,,,,,63488.0,,,,,,,
,,,,,,,689,,,,,,,,,,,,,,,,,,,,,,,,149.803503396,1759261533.1104727,,,,,,,86016.0,,,,,0.14080532,,
,,,,,,,788,,,,,,,,,,,,,,,,,1.0058753,,,,,,,164.814237782,1759261548.0898118,,,,,,,96256.0,,,,,,,
,,,,,,,980,,,,0.0019325037,,,,,,,,,,,,,,,,,,,,199.841370014,1759261583.265158,,,,,,,120832.0,,,,,,,
,,,,,,,2225,,,,,,,,,,,,,,,,,,,,,,,684.0,414.99736541,1759261800.1214745,,,,,,,270336.0,,,,,,,
,,,,,,,2610,,,,,,,,,,,,,,,,,,,,,,,,485.044131,1759261868.3391643,,,,,,,317440.0,,,,,0.15317494,,
,,,,,,,2648,,1000.0,,,,,,,,,,,,,,,,,,,,,,490.049601967,1759261874.2191353,,,,,,,321536.0,,,,,,,
,,,,,,,5518,,,,,,,,,,,,,,,,,,,,,,,,990.412798373,1759262375.1597672,0.70883036,,,,,,667648.0,,,,,,,
,,,,,,,5864,,,,,,,,,,,,,,,,,,,,,,,,1050.602461938,1759262435.0921314,,,,,,,708608.0,,,0.0009900684,,,,
,,,,,,,7093,,,,,,,,,,,,,,,,,,,,,,,,1265.607748626,1759262648.6418822,,,,,0.0001,,856064.0,,,,,,,
,,,,,,,7328,,,,,,,,,,,,,,,,,,,,,0.15,,,1305.637193298,1759262690.1710296,,,,,,,884736.0,,,,,,,
,,,,,,,8182,,,,,,,,,,,,,,,,,,,,,,,,1455.740046825,1759262839.1722167,,-0.0036049318,,,,,987136.0,,,,,,,
,,,,,,,8501,,,,,,,,,,,,,,,,,,,,,0.15,,,1510.781443643,1759262895.9158285,,,,,,,1026048.0,,,,,,,
,62379.82,,,,,,9653,,,,,,,,,,,,,,,,,,,,,,,,1715.92410826,1759263098.2262294,,,,,,,1165312.0,,,,,,,
,,,,,,,10266,,,,,,,,,,,,,,,,,,,,,,,688.0,1820.996377318,1759263204.6824071,,,,,,,1239040.0,,,,,,,
,,,,,,,10627,,,,,,,,-11.8114395,,,,,,,,,,,,,,,,1886.039894275,1759263266.9642646,,,,,,,1282048.0,,,,,,,
,,,,,,,11216,,1000.0,,,,,,,,,,,,,,,,,,,,,,1986.113016921,1759263371.2098496,,,,,,,1353728.0,,,,,,,
,104366.664,,,,,,11251,,,,,,,,,,,,,,,,,,,,,,,,1996.121390581,1759263377.194637,,,,,,,1357824.0,,,,,,,
,,,,,,,12607,,,,,,,,,,,,,,,,,,,,,,,,2231.287976403,1759263615.600788,4.762784,,,,,,1521664.0,,,,,,,
,,,,,0.09127371,,13284,,,,,,,,,,,,,,,,,,,,,,,,2346.374981458,1759263731.486817,,,,,,,1601536.0,,,,,,,
