global_step,train/value_loss,train/entropy_loss,train/policy_gradient_loss,rollout/ep_rew_mean
14006272.0,,,,-4414.3516
14067712.0,,,,
14073856.0,,-18.366184,,
14211072.0,,,,
14258176.0,,,,
14284800.0,,,,29465.664
14538752.0,,,,
14589952.0,,,,
14669824.0,,,,
14678016.0,0.00032607763,,,
14874624.0,,,,
14907392.0,,-18.69245,,
14927872.0,,,,
15073280.0,,,,34913.652
15075328.0,,,,
15081472.0,,,,
15085568.0,,,,
15337472.0,,,,
15396864.0,,,,
15515648.0,,,,
15525888.0,,,,
15538176.0,,,,
15613952.0,,,,
15661056.0,0.0005409511,,,
15751168.0,,,,
15874048.0,,,-0.004154187,
15900672.0,,,,
15917056.0,,,,
16019456.0,,,,
16054272.0,,,,
16166912.0,,,,
16338944.0,,,,-2293.0083
16357376.0,,-19.398716,,
16361472.0,0.0011023163,,,
16404480.0,,,,
16457728.0,,-19.474655,,
16547840.0,,,-0.004124553,
16582656.0,,,,
16709632.0,,,,
16752640.0,,-19.603622,,
16795648.0,,,,
16842752.0,0.00013599129,,,
17004544.0,,,,
17059840.0,,-19.755585,,
17070080.0,,,,
17154048.0,,,,
17221632.0,,,,
17278976.0,,,,
17297408.0,,,,
17303552.0,,,,
17319936.0,,,-0.0034611735,
17328128.0,,,,
17549312.0,,,-0.0034308748,
17600512.0,,,,
17600512.0,,-20.10883,,
17672192.0,,,,-5490.2065
17793024.0,,-20.21088,,
17881088.0,,,,
17997824.0,,,,
18026496.0,,,,
18028544.0,,-20.310854,,
18137088.0,,,,
18190336.0,,,,
18300928.0,,,,
18315264.0,,,-0.0025765775,
18360320.0,,,,
18360320.0,,,,
18362368.0,,,,
18372608.0,,,,
18382848.0,,,,
18432000.0,,,,
18438144.0,,,,
18466816.0,,,,
18552832.0,,,,
18573312.0,,,-0.003326608,
18743296.0,,,-0.0044061188,
18749440.0,0.00016198833,,,
18806784.0,,,,-10516.72
18855936.0,,,,
18868224.0,5.1621322e-05,,,
18909184.0,,,,
18978816.0,,,,
19048448.0,,,,
19167232.0,,,,
19300352.0,,,,
19363840.0,,,,
19595264.0,,,,
19603456.0,,,,-3282.8264
19740672.0,3.219683e-05,,,
19746816.0,,,,
19806208.0,,,,
19994624.0,,,,
